number,name,status
0006,Bug Fix Releases,Superseded
0005,Guidelines for Language Evolution,Superseded
0160,Python 1.6 Release Schedule,Final
0200,Python 2.0 Release Schedule,Final
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
3155,Qualified name for classes and functions,Final
3154,Pickle protocol version 4,Final
3151,Reworking the OS and IO exception hierarchy,Final
3149,ABI version tagged .so files,Final
3148,futures - execute computations asynchronously,Final
3144,IP Address Manipulation Library for the Python Standard Library,Final
3147,PYC Repository Directories,Final
3141,A Type Hierarchy for Numbers,Final
3138,String representation in Python 3000,Final
3137,Immutable Bytes and Mutable Buffer,Final
3135,New Super,Final
3134,Exception Chaining and Embedded Tracebacks,Final
3132,Extended Iterable Unpacking,Final
3131,Supporting Non-ASCII Identifiers,Final
3129,Class Decorators,Final
3121,Extension Module Initialization and Finalization,Final
3123,Making PyObject_HEAD conform to standard C,Final
3127,Integer Literal Support and Syntax,Final
3120,Using UTF-8 as the default source encoding,Final
3119,Introducing Abstract Base Classes,Final
3118,Revising the buffer protocol,Final
3115,Metaclasses in Python 3000,Final
3116,New I/O,Final
3112,Bytes literals in Python 3000,Final
3111,Simple input built-in in Python 3000,Final
3113,Removal of Tuple Parameter Unpacking,Final
3114,Renaming iterator.next() to iterator.__next__(),Final
3110,Catching Exceptions in Python 3000,Final
3109,Raising Exceptions in Python 3000,Final
3107,Function Annotations,Final
3108,Standard Library Reorganization,Final
3106,"Revamping dict.keys(), .values() and .items()",Final
3105,Make print a function,Final
3102,Keyword-Only Arguments,Final
3104,Access to Names in Outer Scopes,Final
0742,Narrowing types with TypeIs,Final
3101,Advanced String Formatting,Final
0741,Python Configuration C API,Final
0738,Adding Android as a supported platform,Final
0737,C API to format a type fully qualified name,Final
0723,Inline script metadata,Final
0730,Adding iOS as a supported platform,Final
0721,Using tarfile.data_filter for source distribution extraction,Final
0715,Disabling bdist_egg distribution uploads on PyPI,Final
0709,Inlined comprehensions,Final
0705,TypedDict: Read-only items,Final
0706,Filter for tarfile.extractall,Final
0698,Override Decorator for Static Typing,Final
0700,Additional Fields for the Simple API for Package Indexes,Final
0702,Marking deprecations using the type system,Final
0697,Limited C API for Extending Opaque Types,Final
0696,Type Defaults for Type Parameters,Final
0695,Type Parameter Syntax,Final
0692,Using TypedDict for more precise **kwargs typing,Final
0689,Unstable C API tier,Final
0688,Making the buffer protocol accessible in Python,Final
0684,A Per-Interpreter GIL,Final
0682,Format Specifier for Signed Zero,Final
0683,"Immortal Objects, Using a Fixed Refcount",Final
0680,tomllib: Support for Parsing TOML in the Standard Library,Final
0681,Data Class Transforms,Final
0678,Enriching Exceptions with Notes,Final
0675,Arbitrary Literal String Type,Final
0673,Self Type,Final
0669,Low Impact Monitoring for CPython,Final
0667,Consistent views of namespaces,Final
0670,Convert macros to functions in the Python C API,Final
0657,Include Fine Grained Error Locations in Tracebacks,Final
0656,Platform Tag for Linux Distributions Using Musl,Final
0660,Editable installs for pyproject.toml based builds (wheel based),Final
0655,Marking individual TypedDict items as required or potentially-missing,Final
0654,Exception Groups and except*,Final
0652,Maintaining the Stable ABI,Final
0647,User-Defined Type Guards,Final
0646,Variadic Generics,Final
0644,Require OpenSSL 1.1.1 or newer,Final
0643,Metadata for Package Source Distributions,Final
0634,Structural Pattern Matching: Specification,Final
0632,Deprecate distutils module,Final
0629,Versioning PyPI’s Simple API,Final
0628,Add,Final
0627,Recording installed projects,Final
0626,Precise line numbers for debugging and other tools.,Final
0624,Remove Py_UNICODE encoder APIs,Final
0618,Add Optional Length-Checking To zip,Final
0623,Remove wstr from Unicode,Final
0621,Storing project metadata in pyproject.toml,Final
0616,String methods to remove prefixes and suffixes,Final
0617,New PEG parser for CPython,Final
0614,Relaxing Grammar Restrictions On Decorators,Final
0615,Support for the IANA Time Zone Database in the Standard Library,Final
0613,Explicit Type Aliases,Final
0612,Parameter Specification Variables,Final
0610,Recording the Direct URL Origin of installed distributions,Final
0604,Allow writing union types as,Final
0600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Final
0597,Add optional EncodingWarning,Final
0594,Removing dead batteries from the standard library,Final
0593,Flexible function and variable annotations,Final
0592,Adding “Yank” Support to the Simple API,Final
0591,Adding a final qualifier to typing,Final
0589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Final
0585,Type Hinting Generics In Standard Collections,Final
0586,Literal Types,Final
0587,Python Initialization Configuration,Final
0584,Add Union Operators To dict,Final
0574,Pickle protocol 5 with out-of-band data,Final
0578,Python Runtime Audit Hooks,Final
0573,Module State Access from C Extension Methods,Final
0572,Assignment Expressions,Final
0570,Python Positional-Only Parameters,Final
0567,Context Variables,Final
0566,Metadata for Python Software Packages 2.1,Final
0565,Show DeprecationWarning in __main__,Final
0562,Module __getattr__ and __dir__,Final
0564,Add new time functions with nanosecond resolution,Final
0561,Distributing and Packaging Type Information,Final
0560,Core support for typing module and generic types,Final
0553,Built-in breakpoint(),Final
0552,Deterministic pycs,Final
0557,Data Classes,Final
0544,Protocols: Structural subtyping (static duck typing),Final
0540,Add a new UTF-8 Mode,Final
0539,A New C-API for Thread-Local Storage in CPython,Final
0538,Coercing the legacy C locale to a UTF-8 based locale,Final
0530,Asynchronous Comprehensions,Final
0529,Change Windows filesystem encoding to UTF-8,Final
0527,Removing Un(der)used file types/extensions on PyPI,Final
0528,Change Windows console encoding to UTF-8,Final
0526,Syntax for Variable Annotations,Final
0525,Asynchronous Generators,Final
0524,Make os.urandom() blocking on Linux,Final
0520,Preserving Class Attribute Definition Order,Final
0523,Adding a frame evaluation API to CPython,Final
0519,Adding a file system path protocol,Final
0518,Specifying Minimum Build System Requirements for Python Projects,Final
0517,A build-system independent format for source trees,Final
0515,Underscores in Numeric Literals,Final
0508,Dependency specification for Python Software Packages,Final
0506,Adding A Secrets Module To The Standard Library,Final
0503,Simple Repository API,Final
0498,Literal String Interpolation,Final
0495,Local Time Disambiguation,Final
0493,HTTPS verification migration tools for Python 2.7,Final
0489,Multi-phase extension module initialization,Final
0492,Coroutines with async and await syntax,Final
0487,Simpler customisation of class creation,Final
0488,Elimination of PYO files,Final
0486,Make the Python Launcher aware of virtual environments,Final
0485,A Function for testing approximate equality,Final
0484,Type Hints,Final
0479,Change StopIteration handling inside generators,Final
0477,Backport ensurepip (PEP 453) to Python 2.7,Final
0476,Enabling certificate verification by default for stdlib http clients,Final
0475,Retry system calls failing with EINTR,Final
0471,os.scandir() function – a better and faster directory iterator,Final
0468,Preserving the order of **kwargs in a function.,Final
0466,Network Security Enhancements for Python 2.7.x,Final
0456,Secure and interchangeable hash algorithm,Final
0465,A dedicated infix operator for matrix multiplication,Final
0461,Adding % formatting to bytes and bytearray,Final
0454,Add a new tracemalloc module to trace Python memory allocations,Final
0453,Explicit bootstrapping of pip in Python installations,Final
0450,Adding A Statistics Module To The Standard Library,Final
0451,A ModuleSpec Type for the Import System,Final
0448,Additional Unpacking Generalizations,Final
0443,Single-dispatch generic functions,Final
0442,Safe object finalization,Final
0441,Improving Python ZIP Application Support,Final
0440,Version Identification and Dependency Specification,Final
0446,Make newly created file descriptors non-inheritable,Final
0435,Adding an Enum type to the Python standard library,Final
0436,The Argument Clinic DSL,Final
0445,Add new APIs to customize Python memory allocators,Final
0428,The pathlib module – object-oriented filesystem paths,Final
0427,The Wheel Binary Package Format 1.0,Final
0424,A method for exposing a length hint,Final
0420,Implicit Namespace Packages,Final
0425,Compatibility Tags for Built Distributions,Final
0421,Adding sys.implementation,Final
0417,Including mock in the Standard Library,Final
0418,"Add monotonic time, performance counter, and process time functions",Final
0415,Implement context suppression with exception attributes,Final
0414,Explicit Unicode Literal for Python 3.3,Final
0412,Key-Sharing Dictionary,Final
0397,Python launcher for Windows,Final
0409,Suppressing exception context,Final
0405,Python Virtual Environments,Final
0393,Flexible String Representation,Final
0391,Dictionary-Based Configuration For Logging,Final
0389,argparse - New Command Line Parsing Module,Final
0384,Defining a Stable ABI,Final
0383,Non-decodable Bytes in System Character Interfaces,Final
0380,Syntax for Delegating to a Subgenerator,Final
0372,Adding an ordered dictionary to collections,Final
0378,Format Specifier for Thousands Separator,Final
0376,Database of Installed Python Distributions,Final
0371,Addition of the multiprocessing package to the standard library,Final
0370,Per user site-packages directory,Final
0366,Main module explicit relative imports,Final
0362,Function Signature Object,Final
0357,Allowing Any Object to be Used for Slicing,Final
0358,The “bytes” Object,Final
0353,Using ssize_t as the index type,Final
0352,Required Superclass for Exceptions,Final
0341,Unifying try-except and try-finally,Final
0338,Executing modules as scripts,Final
0342,Coroutines via Enhanced Generators,Final
0343,The “with” Statement,Final
0328,Imports: Multi-Line and Absolute/Relative,Final
0331,Locale-Independent Float/String Conversions,Final
0327,Decimal Data Type,Final
0324,subprocess - New process module,Final
0322,Reverse Iteration,Final
0309,Partial Function Application,Final
0311,Simplified Global Interpreter Lock Acquisition for Extensions,Final
0318,Decorators for Functions and Methods,Final
0308,Conditional Expressions,Final
0307,Extensions to the pickle protocol,Final
0305,CSV File API,Final
0302,New Import Hooks,Final
0301,Package Index and Metadata for Distutils,Final
0293,Codec Error Handling Callbacks,Final
0292,Simpler String Substitutions,Final
0289,Generator Expressions,Final
0285,Adding a bool type,Final
0282,A Logging System,Final
0278,Universal Newline Support,Final
0279,The enumerate() built-in function,Final
0277,Unicode file name support for Windows NT,Final
0274,Dict Comprehensions,Final
0264,Future statements in simulated shells,Final
0273,Import Modules from Zip Archives,Final
0263,Defining Python Source Code Encodings,Final
0261,Support for “wide” Unicode characters,Final
0260,Simplify xrange(),Final
0255,Simple Generators,Final
0253,Subtyping Built-in Types,Final
0252,Making Types Look More Like Classes,Final
0238,Changing the Division Operator,Final
0237,Unifying Long Integers and Integers,Final
0250,Using site-packages on Windows,Final
0235,Import on Case-Insensitive Platforms,Final
0236,Back to the __future__,Final
0232,Function Attributes,Final
0234,Iterators,Final
0229,Using Distutils to Build Python,Final
0230,Warning Framework,Final
0227,Statically Nested Scopes,Final
0223,Change the Meaning of,Final
0218,Adding a Built-In Set Object Type,Final
0221,Import As,Final
0217,Display Hook for Interactive Use,Final
0214,Extended Print Statement,Final
0208,Reworking the Coercion Model,Final
0207,Rich Comparisons,Final
0205,Weak References,Final
0203,Augmented Assignments,Final
0202,List Comprehensions,Final
0201,Lockstep Iteration,Final
0100,Python Unicode Integration,Final
0765,Disallow return/break/continue that exit a finally block,Draft
0789,Preventing task-cancellation bugs by limiting yield in async generators,Draft
2026,Calendar versioning for Python,Draft
0777,How to Re-invent the Wheel,Draft
0763,Limiting deletions on PyPI,Draft
0758,Allow,Draft
0759,External Wheel Hosting,Draft
0757,C API to import-export Python integers,Draft
0755,Implicit namespace policy for PyPI,Draft
0752,Implicit namespaces for package repositories,Draft
0751,A file format to record Python dependencies for installation reproducibility,Draft
0749,Implementing PEP 649,Draft
0750,Template Strings,Draft
0747,Annotating Type Forms,Draft
0746,Type checking Annotated metadata,Draft
0743,Add Py_COMPAT_API_VERSION to the Python C API,Draft
0744,JIT Compilation,Draft
0739,Static description file for build details of Python installations,Draft
0736,Shorthand syntax for keyword arguments at invocation,Draft
0728,TypedDict with Typed Extra Items,Draft
0725,Specifying external dependencies in pyproject.toml,Draft
0727,Documentation in Annotated Metadata,Draft
0720,Cross-compiling Python packages,Draft
0718,Subscriptable functions,Draft
0710,Recording the provenance of installed packages,Draft
0711,PyBI: a standard format for distributing Python Binaries,Draft
0694,Upload 2.0 API for Python Package Repositories,Draft
0679,Allow parentheses in assert statements,Draft
0671,Syntax for late-bound function argument defaults,Draft
0661,Sentinel Values,Draft
0653,Precise Semantics for Pattern Matching,Draft
0638,Syntactic Macros,Draft
0603,Adding a frozenmap type to collections,Draft
0480,Surviving a Compromise of PyPI: End-to-end signing of packages,Draft
0467,Minor API improvements for binary sequences,Draft
0753,Uniform project URLs in core metadata,Accepted
0735,Dependency Groups in pyproject.toml,Accepted
0714,Rename dist-info-metadata in the Simple API,Accepted
0703,Making the Global Interpreter Lock Optional in CPython,Accepted
0701,Syntactic formalization of f-strings,Accepted
0699,Remove private dict version field added in PEP 509,Accepted
0691,JSON-based Simple API for Python Package Indexes,Accepted
0687,Isolating modules in the standard library,Accepted
0686,Make UTF-8 mode default,Accepted
0685,Comparison of extra names for optional distribution dependencies,Accepted
0668,Marking Python base environments as “externally managed”,Accepted
0658,Serve Distribution Metadata in the Simple Repository API,Accepted
0625,Filename of a Source Distribution,Accepted
0649,Deferred Evaluation Of Annotations Using Descriptors,Accepted
0590,Vectorcall: a fast calling protocol for CPython,Accepted
0563,Postponed Evaluation of Annotations,Accepted
0740,Index support for digital attestations,Provisional
0458,Secure PyPI downloads with signed repository metadata,Accepted
0708,Extending the Repository API to Mitigate Dependency Confusion Attacks,Provisional
8106,2025 Term Steering Council election,Active
0639,Improving License Clarity with Better Package Metadata,Provisional
8105,2024 Term Steering Council election,Final
8104,2023 Term Steering Council election,Final
8103,2022 Term Steering Council election,Final
8102,2021 Term Steering Council election,Final
8101,2020 Term Steering Council election,Final
8100,January 2019 Steering Council election,Final
8016,The Steering Council Model,Accepted
8000,Python Language Governance Proposal Overview,Final
8002,Open Source Governance Survey,Final
3333,Python Web Server Gateway Interface v1.0.1,Final
0801,Reserved,Active
0579,Refactoring C functions and methods,Final
0514,Python registration in the Windows registry,Active
0483,The Theory of Type Hints,Final
0482,Literature Overview for Type Hints,Final
0457,Notation For Positional-Only Parameters,Final
0452,API for Cryptographic Hash Functions v2.0,Final
0430,Migrating to Python 3 as the default online documentation,Final
0434,IDLE Enhancement Exception for All Branches,Active
0399,Pure Python/C Accelerator Module Compatibility Requirements,Final
0394,The “python” Command on Unix-Like Systems,Active
0290,Code Migration and Modernization,Active
0333,Python Web Server Gateway Interface v1.0,Final
0287,reStructuredText Docstring Format,Active
0257,Docstring Conventions,Active
0272,API for Block Encryption Algorithms v1.0,Final
0249,Python Database API Specification v2.0,Final
0247,API for Cryptographic Hash Functions,Final
0248,Python Database API Specification v1.0,Final
0101,Doing Python Releases 101,Active
0020,The Zen of Python,Active
0761,Deprecating PGP signatures for CPython artifacts,Active
0732,The Python Documentation Editorial Board,Active
0731,C API Working Group Charter,Active
0729,Typing governance process,Active
0676,PEP Infrastructure Process,Active
0609,Python Packaging Authority (PyPA) Governance,Active
0545,Python Documentation Translations,Active
0602,Annual Release Cycle for Python,Active
0387,Backwards Compatibility Policy,Active
0013,Python Language Governance,Active
0008,Style Guide for Python Code,Active
0012,Sample reStructuredText PEP Template,Active
0011,CPython platform support,Active
0010,Voting Guidelines,Active
0007,Style Guide for C Code,Active
0002,Procedure for Adding New Modules,Active
0004,Deprecation of Standard Modules,Active
